"","exp","valence","arousal","dominance","liking","familiarity","VAQ"
"274",15,5,3,6.8,6.9,1,2
"275",6,6.9,5,6.7,7.3,1,1
"276",22,3,1.8,6.6,8.9,1,3
"277",23,2.2,6.8,4.6,2.7,1,3
"278",3,6.1,2.7,6.7,7,1,1
"279",26,5,2.2,9,2,1,3
"280",36,1.1,2.9,6.6,1,1,4
"281",31,2.1,1.9,7.7,1,1,4
"282",37,1,3.2,5.8,1,1,4
"283",14,4.2,1,6.8,3,1,2
"284",25,4.1,2.5,6.7,8,1,3
"285",38,3.1,1.5,6.8,1,1,4
"286",34,5,1,9,1,1,4
"287",27,6.5,3,6.7,9,1,3
"288",4,7.1,3.4,5.6,9,1,1
"289",33,5.1,6.7,6.9,1,1,4
"290",40,5,5,6.7,9,1,4
"291",11,7,3,5.7,9,1,2
"292",8,7,4.4,6.8,9,1,1
"293",20,7,6,8.6,9,1,2
"294",2,3,3,8.2,1,1,1
"295",18,5,1.7,8.9,5.9,1,2
"296",19,6.5,5,7.9,9,1,2
"297",32,5,2.4,8,1,1,4
"298",24,3.1,5,6.9,8,1,3
"299",1,5,3.7,9,8.6,1,1
"300",5,5,1,9,7.1,4,1
"301",29,5,1,9,7.3,1,3
"302",13,6.5,1.6,8.7,7.7,1,2
"303",17,5.8,1.5,9,6.9,1,2
"304",9,6.2,3.8,8.1,9,1,1
"305",26,7.5,3,5.4,8.9,4,3
"306",3,6.4,6.9,5,5.6,3,1
"307",20,8.5,7.2,6.6,9,5,2
"308",25,5.2,4.4,2.8,2.1,2,3
"309",7,3.8,5.1,4.9,4,2,1
"310",4,6.1,5.9,5.4,6.5,3,1
"311",10,2.1,6.2,5.8,1,2,1
"312",21,3,3.1,6,1,2,3
"313",36,1.4,6.4,6.2,1,2,4
"314",9,7.2,6.7,6.7,6.7,3,1
"315",15,5.1,4.8,5.1,5.1,2,2
"316",29,4.2,5.9,6.4,6.9,3,3
"317",24,8.2,7.5,7.6,9,4,3
"318",13,4.7,3.5,2.6,2.5,1,2
"319",2,5.7,6.1,6.8,7.3,4,1
"320",30,2.7,7.6,7.6,6.5,3,3
"321",11,8.6,7,7.3,7.8,3,2
"322",27,7.3,7.5,6.6,7.1,4,3
"323",17,5.2,4.6,4.6,4.9,2,2
"324",19,6.9,5.5,5.7,6.7,5,2
"325",9,7.7,6.1,5.6,9,5,1
"326",6,6.7,5.7,5.6,6.9,1,1
"327",21,5.5,4.4,5.5,5.2,1,3
"328",13,6,4.5,5.8,5.5,2,2
"329",5,6.2,5.5,5.6,6.6,5,1
"330",31,5.7,5.5,5.3,5.4,1,4
"331",25,6,4.2,5.8,5.5,1,3
"332",12,6.1,4.6,5.3,4.6,1,2
"333",8,6,4.9,5.4,6.8,5,1
"334",7,5.8,5.1,5.4,5.7,5,1
"335",10,5.7,5.6,5,7.4,1,1
"336",36,5.8,5.5,5.9,7.2,3,4
"337",37,5.4,6.7,4.5,6.4,1,4
"338",38,5.6,5.4,5.7,5.7,1,4
"339",2,5.6,4.4,5.5,4.8,1,1
"340",27,5.5,4.9,5.5,4.6,2,3
"341",1,5.4,6.2,4.3,4.6,5,1
"342",29,6.5,6.4,4.4,8.8,5,3
"343",4,7.1,6.7,5.4,7.1,5,1
"344",18,7.4,3.9,4.8,9,5,2
"345",11,6.3,5.7,5.4,6.6,3,2
"346",14,7,5.7,5.6,7.7,5,2
"347",40,5.3,6.4,4.6,4.5,3,4
"348",23,4.1,4.2,4.3,3.9,2,3
"349",28,4.6,4,5.7,5.5,1,3
"350",22,4.3,5.1,4.8,6.1,4,3
"351",17,6,4.2,5.6,6.1,1,2
"352",32,5.7,6.3,4.3,6.2,2,4
"353",26,5.4,3.6,4.6,6.4,2,3
"354",20,6.9,5.9,4.5,7.3,5,2
"355",15,7.3,4.4,4.5,7.6,1,2
"356",34,5.8,7.1,4.1,6.6,3,4
"357",24,3.9,5.4,5.5,6.2,5,3
"358",33,6.1,7,4,6.5,4,4
"359",30,2.5,5.8,3.7,2.6,3,3
"360",39,3.8,6.9,4.2,4.2,2,4
"361",3,7,6.5,4.1,7.4,5,1
"362",14,6.9,5,6.5,8.7,5,2
"363",6,7.9,6.6,7.3,8,4,1
"364",12,7.7,1.8,4.1,8.8,1,2
"365",19,6.7,5,6.7,6.5,5,2
"366",13,6.7,2.8,7.2,7.4,2,2
"367",38,6.3,6.8,6.5,5,3,4
"368",1,7.7,7.3,6.3,7.4,5,1
"369",11,9,5,7.1,8.8,1,2
"370",5,8.6,6.4,8.2,8.8,5,1
"371",8,8.2,5,7.2,8.1,5,1
"372",21,3,3.2,6.8,7,3,3
"373",33,6.1,6.2,8,6.5,4,4
"374",4,9,6.4,6.8,7.6,5,1
"375",29,3.9,6.8,4.3,8.4,5,3
"376",22,3.8,3.6,5.4,2.9,1,3
"377",9,8.1,6.3,6.5,9,5,1
"378",26,3.7,3.8,6.9,5.2,1,3
"379",32,5,5.9,5,5,2,4
"380",28,3.5,5,5.6,6.6,1,3
"381",30,2.2,6.3,4,5,5,3
"382",2,6.4,6.4,6.6,6.9,5,1
"383",40,5.9,7.1,7.1,6.7,3,4
"384",3,6.9,4.8,5.7,6.7,5,1
"385",39,5,6.8,6.9,3.8,2,4
"386",24,3.3,3.7,6.9,6,5,3
"387",37,3.1,7,3.7,1,1,4
"388",31,5,5,8.5,4.1,1,4
"389",20,6.5,5,6.6,3.5,1,2
"390",23,5,5,5,5,1,3
"391",15,9,5,6.6,7.1,1,2
"392",25,6.9,3.1,6.9,7.1,1,3
"393",7,7,6.5,5.5,7.2,5,1
"394",34,4.4,6.3,6.9,2.4,2,4
"395",17,3,4.9,5,5,4,2
"396",10,5,7.2,7,6.2,3,1
"397",36,3.4,6.9,6.5,5,1,4
"398",27,7.2,6.1,6.6,6.8,1,3
"399",18,9,6.8,7.9,9,5,2
"400",8,2,3.9,9,1,5,1
"401",36,6.1,4.3,9,5.8,1,4
"402",19,7.6,2,7,7.2,5,2
"403",29,5.9,1.5,7.3,7.6,5,3
"404",14,4,4.5,9,3.4,5,2
"405",7,9,6.9,9,9,5,1
"406",34,5.3,3.9,7.6,5.7,1,4
"407",6,6.8,4.1,9,7,4,1
"408",24,1,2.6,4.7,6.5,5,3
"409",18,6.3,2.2,6.5,6.2,5,2
"410",37,7.1,6,9,6.3,1,4
"411",13,6,3,9,5.8,2,2
"412",5,5.8,2.4,8.1,5.7,5,1
"413",30,7,3.2,7.1,9,2,3
"414",3,6.3,3.7,9,5.9,5,1
"415",32,5.9,3.6,7.5,6.7,4,4
"416",33,4.5,3.3,9,4.8,1,4
"417",40,5.9,3.6,7.5,6.6,1,4
"418",26,5,3,9,5.4,2,3
"419",21,3.4,5.6,9,2.6,1,3
"420",27,6,3.1,7.2,6.3,1,3
"421",22,3.6,2.7,9,4.7,1,3
"422",1,2.2,6.7,9,2.5,5,1
"423",12,5.8,1,7.3,5.5,1,2
"424",25,6.1,3,6.1,6.7,1,3
"425",10,6.7,3.2,6.8,7.5,2,1
"426",2,9,7,5.3,9,5,1
"427",23,4.5,3,9,5.7,1,3
"428",39,5.4,4.3,7.1,6.5,1,4
"429",38,5.5,4.3,7.1,6.5,1,4
"430",9,4,2.3,8.9,4.4,5,1
"431",11,6.2,2.3,7.2,5.8,4,2
"432",17,6.1,3.1,7.1,6.2,5,2
"433",20,6.5,2.9,5.9,6.6,5,2
"434",28,4.2,2.3,8,4,1,3
"435",15,4.5,3,9,3.2,1,2
"436",31,4,4,9,3.1,1,4
"437",4,5,3.4,9,5.8,5,1
"438",12,5.9,3.1,5.9,5.7,1,2
"439",15,4.3,3.4,5.9,4.3,1,2
"440",19,7.7,6.7,6.1,6.9,4,2
"441",10,6.3,7.2,6.6,5.8,1,1
"442",32,4.4,4,5.5,3,1,4
"443",18,6.9,5.9,6.1,8.2,3,2
"444",23,4.6,4.5,5.6,6.2,1,3
"445",13,5,4.3,4.1,3.3,1,2
"446",6,5.8,4.5,3.8,5.5,1,1
"447",37,5.5,7,5.5,3.9,1,4
"448",40,5,5.9,4.3,5.5,1,4
"449",39,4,5.8,5.7,4.1,1,4
"450",29,5.5,5.8,4.2,4.6,1,3
"451",2,6.2,6.2,5.4,6.4,5,1
"452",30,6.1,6.6,6.4,7.2,4,3
"453",36,3.3,5.8,4.2,4.1,1,4
"454",7,7,6.9,7.1,8.2,5,1
"455",20,7,5,5.9,7.6,1,2
"456",31,5,5.1,3.7,5.7,1,4
"457",5,7.7,7,5.5,7.7,5,1
"458",11,6.8,5.8,5.7,6.2,1,2
"459",33,4.5,6.5,4.2,4.4,1,4
"460",1,6.5,6.4,6.3,7.6,5,1
"461",24,3.3,5.5,5.6,7.3,3,3
"462",26,5,3.5,3.7,3.8,1,3
"463",34,5.8,8.2,6.7,5.9,1,4
"464",3,7.5,8.3,6.5,7.7,5,1
"465",4,6.2,6,5.5,6,1,1
"466",38,5,6.8,5.5,4.1,1,4
"467",17,5,3.6,3.5,5.3,1,2
"468",22,4.2,5.2,5.8,6.1,1,3
"469",14,7.6,6.9,6.4,7.5,5,2
"470",25,5,5,4.1,5.7,1,3
"471",28,5,4,3.7,5.5,1,3
"472",8,6.8,7.1,5.9,7.7,5,1
"473",21,4,4.1,5.6,5.7,1,3
"474",27,5.5,4.2,4.2,5.7,1,3
"475",9,7.2,6.6,6.4,7.4,4,1
"476",6,7,7.2,7.1,7.1,4,1
"477",31,6.1,7,6.8,2,1,4
"478",23,4.8,6.7,6.8,3.8,1,3
"479",14,7.4,6.2,7,7.5,4,2
"480",34,6.1,6.3,6.8,1,1,4
"481",37,5.7,5.6,6.7,1,1,4
"482",36,3.2,5.5,4.6,3.7,2,4
"483",1,5.1,7,6.4,6.4,4,1
"484",24,3.7,6.3,5.7,3.3,4,3
"485",22,5.7,5.4,6.7,8.7,1,3
"486",8,6,5.5,7.4,6.7,4,1
"487",17,5,6,7.4,6.5,2,2
"488",25,3.1,4.3,6.2,2.9,1,3
"489",27,4.1,4.4,5.6,3.7,1,3
"490",28,2.5,6.2,2.3,8.2,4,3
"491",30,3,5.9,3.5,5.5,2,3
"492",32,3.5,4.6,5.6,3.4,1,4
"493",39,3.4,5.3,5.4,1.6,1,4
"494",11,5.5,5.4,6,6.7,1,2
"495",40,5.9,5.6,7.7,1.4,1,4
"496",4,8,6.5,7,8.6,5,1
"497",29,6.4,5.6,5.8,6.6,5,3
"498",9,6.6,6.5,6.3,7.7,4,1
"499",39,6.6,6.5,5.6,3.6,1,4
"500",12,7.4,3.1,6.9,6.5,2,2
"501",18,7.9,2.8,6.2,7.7,5,2
"502",21,4.1,6.2,4.1,4.3,1,3
"503",31,4.3,5.7,4.6,4.5,2,4
"504",1,6.8,6,4.4,5.8,5,1
"505",4,8,7.6,3.2,8.5,5,1
"506",23,3.8,4.2,5.9,4.4,4,3
"507",19,8,6,6.2,9,5,2
"508",3,9,6.6,4.2,9,5,1
"509",40,6.3,4.2,5.6,5.4,3,4
"510",25,4.3,4.1,5.7,4,1,3
"511",5,7.5,5.4,4.4,8.3,5,1
"512",2,4.2,6.6,3.9,3,2,1
"513",6,5.3,6.5,4.3,3.3,2,1
"514",26,5.8,4,6.2,5.8,1,3
"515",14,6.5,4.5,5.7,6.8,4,2
"516",34,3.5,7.1,3.6,2.4,1,4
"517",17,5.5,5.4,5.4,5.7,1,2
"518",7,4,6.4,3.6,1,5,1
"519",37,1,7.8,2.5,1,1,4
"520",13,8.1,6,6.1,8.2,1,2
"521",32,4.6,6.2,4.3,3.9,2,4
"522",8,7.9,6.9,3.2,7.8,5,1
"523",24,2,6.1,2.8,8.5,5,3
"524",29,1.5,6.8,3.3,9,5,3
"525",11,8.5,6.2,3.8,8.3,1,2
"526",36,4,6.6,3.7,5.7,2,4
"527",30,1.5,7.2,2.5,5.6,4,3
"528",20,7.2,6.2,4.3,5,5,2
"529",27,7.2,6.7,3.7,7.4,3,3
"530",28,2.9,6.1,3.9,6.4,1,3
"531",10,3.4,7.1,3.4,2.7,1,1
"532",33,3.6,6.7,3.3,3.3,1,4
"533",22,4.8,4.5,6.3,6.8,1,3
"534",15,7.2,4.2,6,6.3,1,2
"535",38,2.4,7,3.5,1,1,4
"536",9,7.2,5.9,5.7,7.7,5,1
"537",1,8.6,6.2,7.6,6.8,3,1
"538",25,5.9,2.4,6.9,3.1,1,3
"539",36,2,6.6,1.3,1,1,4
"540",12,7.2,2.1,4.6,7.1,1,2
"541",23,3.5,3.1,2.1,1,1,3
"542",2,7.1,5,5,9,5,1
"543",21,5,5,5,3.3,1,3
"544",14,7.3,7,6.7,7.1,3,2
"545",5,6,6.2,6.2,6.7,3,1
"546",31,4.4,5.8,3.7,1,1,4
"547",30,5,5,5,4.2,4,3
"548",19,7.3,5,5.8,7.1,3,2
"549",26,5.9,5,5,6.8,1,3
"550",37,1,7.1,4.5,1,1,4
"551",4,6.9,5,5,6.3,3,1
"552",15,6.3,3.6,5,5.9,1,2
"553",17,5,1.2,5,1,1,2
"554",22,5,1.9,2.4,1.1,1,3
"555",39,2.2,3.4,2.8,1,1,4
"556",24,3.3,2.5,2.6,7.9,5,3
"557",6,7,6.2,5,6.4,1,1
"558",32,4.2,4.1,3.3,1,1,4
"559",27,5,5,5,5.6,3,3
"560",33,5,4.4,5.7,1,1,4
"561",29,6.1,3.3,3.7,6.2,4,3
"562",11,7.2,4,5.7,7.8,1,2
"563",28,4.5,4.2,4.5,7.7,1,3
"564",20,8,6.4,7.3,9,5,2
"565",7,7.7,7.1,7.2,7.4,5,1
"566",40,4.6,4.6,5.8,1.1,1,4
"567",13,6.2,4.1,5.8,6.5,1,2
"568",38,3.1,5.6,3.8,1,1,4
"569",8,6.8,4.4,5.4,6.5,4,1
"570",3,8.1,6.1,7.3,8.5,5,1
"571",34,4.6,5,5,3,1,4
"572",9,7.9,5.9,6.8,9,5,1
"573",10,4.3,5,5.7,4,1,1
"574",18,3.6,2.2,1.8,8.9,4,2
"575",30,3,1.4,4.7,5,1,3
"576",7,4.9,1,9,1,1,1
"577",10,5,2.9,9,1,1,1
"578",21,3,1,6.7,1,1,3
"579",31,1,5,2.6,1,1,4
"580",32,1,2.9,4.8,1,1,4
"581",13,6.1,4.1,9,5,1,2
"582",14,8,7.1,6.6,9,5,2
"583",23,2.7,3.2,6.7,1,3,3
"584",34,5,1,9,1,1,4
"585",19,5,1,9,2.7,1,2
"586",3,7.1,6,6.6,7,2,1
"587",25,7,3,9,6.7,1,3
"588",26,4.9,1,9,3.1,1,3
"589",28,3.1,1,6.6,1,1,3
"590",39,3.1,1,6.6,1,1,4
"591",2,5,2.9,6.9,2.4,1,1
"592",37,3.1,5,6.9,1,1,4
"593",36,5,3.1,9,1,1,4
"594",33,2.8,1,7.8,1,1,4
"595",6,6.2,6.1,7.7,6,1,1
"596",9,7,6,7.8,7.9,5,1
"597",17,5,1,9,1.7,1,2
"598",27,6,5.8,8.9,6.2,3,3
"599",18,8,6.9,6.7,8.9,5,2
"600",11,6.2,6,7.8,6.9,2,2
"601",1,5,1.2,8.9,2.7,1,1
"602",40,5,1,9,3.2,1,4
"603",12,5,1,9,5.1,1,2
"604",20,7,7,6.7,9,5,2
"605",38,3.1,1,6.9,1,1,4
"606",8,7.1,6,7.1,6.8,2,1
